,country,Total_people_vaccinated
131,United States,2250292861.0
130,United Kingdom,862736577.0
37,England,733741950.0
56,India,533895507.0
61,Israel,259745953.0
18,Brazil,229450224.0
125,Turkey,201931040.0
43,Germany,191260506.0
62,Italy,142225760.0
42,France,137250376.0
23,Chile,118507535.0
118,Spain,81915434.0
99,Poland,75344688.0
85,Morocco,74206411.0
103,Russia,73931465.0
21,Canada,71823137.0
79,Mexico,68520437.0
109,Scotland,66362263.0
57,Indonesia,62596742.0
11,Bangladesh,49854931.0
102,Romania,45016419.0
135,Wales,39816144.0
6,Argentina,32322464.0
111,Serbia,29311677.0
54,Hungary,28864768.0
14,Belgium,24745794.0
100,Portugal,24371289.0
91,Northern Ireland,22563470.0
46,Greece,22289584.0
30,Czechia,21982464.0
8,Austria,20178015.0
31,Denmark,19455953.0
10,Bahrain,14816149.0
92,Norway,13985054.0
114,Slovakia,13710966.0
121,Switzerland,13460476.0
41,Finland,13118106.0
59,Ireland,9223560.0
97,Peru,8287523.0
72,Lithuania,7397761.0
19,Bulgaria,6291199.0
120,Sweden,5831439.0
117,South Korea,5695440.0
115,Slovenia,5565185.0
88,Netherlands,4693162.0
129,United Arab Emirates,4316983.0
33,Dominican Republic,4012719.0
25,Colombia,3864225.0
9,Azerbaijan,3320445.0
113,Singapore,3000935.0
38,Estonia,2471149.0
75,Malaysia,2348085.0
77,Malta,2269041.0
69,Latvia,2055346.0
28,Croatia,1980916.0
116,South Africa,1928211.0
132,Uruguay,1737465.0
53,Hong Kong,1698800.0
104,Rwanda,1464954.0
93,Oman,1314245.0
112,Seychelles,1298005.0
63,Japan,1293128.0
7,Australia,1238684.0
17,Bolivia,1200738.0
20,Cambodia,1153991.0
45,Gibraltar,1017584.0
26,Costa Rica,937388.0
110,Senegal,920044.0
12,Barbados,908593.0
73,Luxembourg,789869.0
34,Ecuador,653355.0
60,Isle of Man,564613.0
136,Zimbabwe,561961.0
44,Ghana,502252.0
68,Kuwait,459000.0
55,Iceland,456459.0
128,Ukraine,416402.0
74,Macao,327503.0
29,Cyprus,313467.0
70,Lebanon,312203.0
65,Jordan,275772.0
64,Jersey,190904.0
98,Philippines,190559.0
94,Pakistan,152878.0
22,Cayman Islands,129836.0
49,Guatemala,118239.0
86,Myanmar,106942.0
66,Kazakhstan,103252.0
101,Qatar,100000.0
16,Bermuda,84050.0
39,Faeroe Islands,54917.0
50,Guernsey,53646.0
80,Moldova,51938.0
27,Cote d'Ivoire,48265.0
36,El Salvador,47000.0
134,Vietnam,46198.0
107,San Marino,35860.0
89,New Zealand,30061.0
96,Paraguay,26652.0
13,Belarus,20944.0
83,Montenegro,20744.0
15,Belize,19235.0
2,Andorra,15145.0
0,Albania,14501.0
67,Kenya,13144.0
58,Iran,13000.0
133,Venezuela,12351.0
4,Anguilla,8032.0
32,Dominica,7202.0
47,Greenland,6511.0
126,Turks and Caicos Islands,6433.0
3,Angola,6169.0
78,Mauritius,4050.0
127,Uganda,3445.0
40,Falkland Islands,3247.0
48,Grenada,3146.0
124,Tunisia,2819.0
52,Honduras,2684.0
51,Guyana,2520.0
106,Saint Lucia,2094.0
84,Montserrat,652.0
123,Trinidad and Tobago,440.0
105,Saint Helena,0.0
5,Antigua and Barbuda,0.0
71,Liechtenstein,0.0
76,Maldives,0.0
108,Saudi Arabia,0.0
95,Panama,0.0
35,Egypt,0.0
82,Mongolia,0.0
81,Monaco,0.0
1,Algeria,0.0
90,Northern Cyprus,0.0
24,China,0.0
119,Sri Lanka,0.0
122,Thailand,0.0
87,Nepal,0.0
